result,table,_start,_stop,_time,_value,_field,_measurement,building,floor,name
_result,72,2024-02-24 14:14:59.657346+00:00,2024-03-25 14:14:59.657346+00:00,2024-03-24 05:15:00+00:00,23.5,link_quality,temp_sensor,9,5,temp_sensor_1
_result,72,2024-02-24 14:14:59.657346+00:00,2024-03-25 14:14:59.657346+00:00,2024-03-24 05:45:00+00:00,21.0,link_quality,temp_sensor,9,5,temp_sensor_1
_result,72,2024-02-24 14:14:59.657346+00:00,2024-03-25 14:14:59.657346+00:00,2024-03-24 06:00:00+00:00,21.0,link_quality,temp_sensor,9,5,temp_sensor_1
_result,72,2024-02-24 14:14:59.657346+00:00,2024-03-25 14:14:59.657346+00:00,2024-03-24 06:15:00+00:00,29.0,link_quality,temp_sensor,9,5,temp_sensor_1
_result,72,2024-02-24 14:14:59.657346+00:00,2024-03-25 14:14:59.657346+00:00,2024-03-24 06:45:00+00:00,34.0,link_quality,temp_sensor,9,5,temp_sensor_1
_result,72,2024-02-24 14:14:59.657346+00:00,2024-03-25 14:14:59.657346+00:00,2024-03-24 07:15:00+00:00,32.0,link_quality,temp_sensor,9,5,temp_sensor_1
_result,72,2024-02-24 14:14:59.657346+00:00,2024-03-25 14:14:59.657346+00:00,2024-03-24 07:45:00+00:00,36.0,link_quality,temp_sensor,9,5,temp_sensor_1
_result,72,2024-02-24 14:14:59.657346+00:00,2024-03-25 14:14:59.657346+00:00,2024-03-24 08:15:00+00:00,40.0,link_quality,temp_sensor,9,5,temp_sensor_1
_result,72,2024-02-24 14:14:59.657346+00:00,2024-03-25 14:14:59.657346+00:00,2024-03-24 08:45:00+00:00,43.0,link_quality,temp_sensor,9,5,temp_sensor_1
_result,72,2024-02-24 14:14:59.657346+00:00,2024-03-25 14:14:59.657346+00:00,2024-03-24 09:15:00+00:00,41.5,link_quality,temp_sensor,9,5,temp_sensor_1
_result,72,2024-02-24 14:14:59.657346+00:00,2024-03-25 14:14:59.657346+00:00,2024-03-24 09:45:00+00:00,43.0,link_quality,temp_sensor,9,5,temp_sensor_1
_result,72,2024-02-24 14:14:59.657346+00:00,2024-03-25 14:14:59.657346+00:00,2024-03-24 10:15:00+00:00,40.0,link_quality,temp_sensor,9,5,temp_sensor_1
_result,72,2024-02-24 14:14:59.657346+00:00,2024-03-25 14:14:59.657346+00:00,2024-03-24 10:45:00+00:00,43.0,link_quality,temp_sensor,9,5,temp_sensor_1
_result,72,2024-02-24 14:14:59.657346+00:00,2024-03-25 14:14:59.657346+00:00,2024-03-24 11:15:00+00:00,43.0,link_quality,temp_sensor,9,5,temp_sensor_1
_result,72,2024-02-24 14:14:59.657346+00:00,2024-03-25 14:14:59.657346+00:00,2024-03-24 11:45:00+00:00,43.0,link_quality,temp_sensor,9,5,temp_sensor_1
_result,72,2024-02-24 14:14:59.657346+00:00,2024-03-25 14:14:59.657346+00:00,2024-03-24 12:15:00+00:00,40.0,link_quality,temp_sensor,9,5,temp_sensor_1
_result,72,2024-02-24 14:14:59.657346+00:00,2024-03-25 14:14:59.657346+00:00,2024-03-24 12:45:00+00:00,40.0,link_quality,temp_sensor,9,5,temp_sensor_1
_result,72,2024-02-24 14:14:59.657346+00:00,2024-03-25 14:14:59.657346+00:00,2024-03-24 13:15:00+00:00,40.0,link_quality,temp_sensor,9,5,temp_sensor_1
_result,72,2024-02-24 14:14:59.657346+00:00,2024-03-25 14:14:59.657346+00:00,2024-03-24 13:45:00+00:00,40.0,link_quality,temp_sensor,9,5,temp_sensor_1
