result,table,_start,_stop,_time,_value,_field,_measurement,building,floor,measuring,name
_result,0,2024-02-24 14:14:59.657346+00:00,2024-03-25 14:14:59.657346+00:00,2024-03-23 18:30:00+00:00,49.65866666666667,current_a,power_meter,9,1,hvac,meter 2
_result,0,2024-02-24 14:14:59.657346+00:00,2024-03-25 14:14:59.657346+00:00,2024-03-23 18:45:00+00:00,49.029999999999994,current_a,power_meter,9,1,hvac,meter 2
_result,0,2024-02-24 14:14:59.657346+00:00,2024-03-25 14:14:59.657346+00:00,2024-03-23 19:00:00+00:00,46.24066666666667,current_a,power_meter,9,1,hvac,meter 2
_result,0,2024-02-24 14:14:59.657346+00:00,2024-03-25 14:14:59.657346+00:00,2024-03-23 19:15:00+00:00,45.730714285714285,current_a,power_meter,9,1,hvac,meter 2
_result,0,2024-02-24 14:14:59.657346+00:00,2024-03-25 14:14:59.657346+00:00,2024-03-23 19:30:00+00:00,47.31266666666667,current_a,power_meter,9,1,hvac,meter 2
_result,0,2024-02-24 14:14:59.657346+00:00,2024-03-25 14:14:59.657346+00:00,2024-03-23 19:45:00+00:00,44.85066666666667,current_a,power_meter,9,1,hvac,meter 2
_result,0,2024-02-24 14:14:59.657346+00:00,2024-03-25 14:14:59.657346+00:00,2024-03-23 20:00:00+00:00,47.11133333333333,current_a,power_meter,9,1,hvac,meter 2
_result,0,2024-02-24 14:14:59.657346+00:00,2024-03-25 14:14:59.657346+00:00,2024-03-23 20:15:00+00:00,47.54333333333334,current_a,power_meter,9,1,hvac,meter 2
_result,0,2024-02-24 14:14:59.657346+00:00,2024-03-25 14:14:59.657346+00:00,2024-03-23 20:30:00+00:00,44.99733333333334,current_a,power_meter,9,1,hvac,meter 2
_result,0,2024-02-24 14:14:59.657346+00:00,2024-03-25 14:14:59.657346+00:00,2024-03-23 20:45:00+00:00,47.565999999999995,current_a,power_meter,9,1,hvac,meter 2
_result,0,2024-02-24 14:14:59.657346+00:00,2024-03-25 14:14:59.657346+00:00,2024-03-23 21:00:00+00:00,44.66133333333333,current_a,power_meter,9,1,hvac,meter 2
